batch_size,naive_pos_mean,naive_pos_std,naive_pos_cnt,naive_com_mean,naive_com_std,naive_com_cnt,auto_arima_pos_mean,auto_arima_pos_std,auto_arima_pos_cnt,auto_arima_com_mean,auto_arima_com_std,auto_arima_com_cnt,auto_ets_pos_mean,auto_ets_pos_std,auto_ets_pos_cnt,auto_ets_com_mean,auto_ets_com_std,auto_ets_com_cnt,auto_ces_pos_mean,auto_ces_pos_std,auto_ces_pos_cnt,auto_ces_com_mean,auto_ces_com_std,auto_ces_com_cnt,auto_theta_pos_mean,auto_theta_pos_std,auto_theta_pos_cnt,auto_theta_com_mean,auto_theta_com_std,auto_theta_com_cnt,random_walk_pos_mean,random_walk_pos_std,random_walk_pos_cnt,random_walk_com_mean,random_walk_com_std,random_walk_com_cnt,history_average_pos_mean,history_average_pos_std,history_average_pos_cnt,history_average_com_mean,history_average_com_std,history_average_com_cnt
3,0,0,0,0,0,0,-14.166666666666668,11.827545532921585,3,166.4385,16.998779998502833,3,0,0,0,0,0,0,6.0999999999999996,0,1,29.377500000000001,0,1,2.5833333333333335,4.1869837990292407,3,225.07391666666666,67.861895068372746,3,0,0,0,0,0,0,-4.1166666666666663,0.9569918146637062,3,293.48691666666667,29.35687656914191,3
5,0,0,0,0,0,0,-8.4900000000000002,12.73319480727441,5,359.10154999999997,267.51215196716998,5,-1.2250000000000001,15.733125881400682,2,88.234375,0.078665629407003418,2,3.3833333333333333,11.125234079934378,3,88.209916666666658,50.938273415191773,3,4.7599999999999998,7.2372646766578876,5,246.82919999999999,26.393752879706213,5,11.949999999999999,0,1,29.60575,0,1,-2.2999999999999998,12.218019479441011,5,275.98610000000002,60.781735798469924,5
10,0,0,0,0,0,0,-15.4,11.318740605247958,10,267.71140000000003,232.42890126206694,10,10.949999999999999,0,1,88.295249999999996,0,1,5.1611111111111114,4.9305665101599745,9,39.181805555555556,29.436824781209889,9,4,5.8371892018143265,10,220.27695,44.44834992544093,10,3.2124999999999999,7.0772375731401489,4,29.420562499999999,0.12725505474570875,4,-8.8300000000000001,5.1891553583732035,10,243.65520000000001,49.917201246135811,10
20,0,0,0,0,0,0,-14.1425,8.5142647332208554,20,280.95013749999998,227.58344125929762,20,-0.75,5.97194831413222,7,75.57282142857143,15.799320629324992,7,4.208333333333333,4.1599013704371295,18,58.766263888888886,39.055930327965356,18,3.3599999999999999,3.9852227039401447,20,215.87327500000001,33.514468986494634,20,1.1714285714285715,6.0373046650842142,7,29.470357142857143,0.11102541536577495,7,-4.6025,7.5249318059508372,20,256.86456249999998,39.087694367994601,20
40,0,0,0,0,0,0,-15.512499999999999,6.6658116438881523,40,235.94058749999999,162.44075423982051,40,-2.7210526315789476,3.5101565250582993,19,60.293421052631579,24.966477309452788,19,3.96875,4.0798630195221648,32,64.256640625000003,36.143857675978097,32,3.1524999999999999,3.5037699476640651,40,221.67926249999999,33.936577432799609,40,-1.3062499999999999,1.3164990098200389,8,29.467781250000002,0.095856984012269913,8,-1.7424999999999999,7.6604842686849262,40,281.78856250000001,32.451515250207578,40
100,0,0,0,0,0,0,-13.548999999999999,10.317482906957178,100,286.29262499999999,224.61390268129068,100,-0.77254901960784317,7.0165825992821471,51,70.308166666666665,22.1166278161176,51,4.6445783132530121,5.6986252730758302,83,71.518186746987951,39.292201675567647,83,3.8975,5.4243529381834836,100,226.1750275,35.44241391696157,100,5.3145833333333341,7.4375439957290865,24,29.512760416666666,0.11434317338529153,24,-2.6124999999999998,8.1914416258123275,100,272.4271225,45.48179888266182,100
200,0,0,0,0,0,0,-13.833500000000001,9.9666959364398799,200,299.40783249999998,231.97806065267454,200,-1.1175675675675676,7.0790011129224126,111,72.280889639639639,19.79195653529727,111,4.6772455089820362,5.8902121859903094,167,74.604580838323358,38.017272679281398,167,4.4387499999999998,5.4900445245835252,200,225.87830374999999,34.519296361293598,200,4.7969387755102044,7.3989963294810099,49,29.535647959183674,0.092133605974774296,49,-1.5580000000000001,8.7395155276646452,200,274.333325,46.995398769327039,200
300,0,0,0,0,0,0,-15.3835,8.4377071781823023,300,266.77330749999999,195.85799137262342,300,-2.1499999999999999,5.5545100323382623,154,68.882347402597404,21.670387901204109,154,4.0858565737051791,4.7687429332421152,251,69.41525199203187,37.741378098474307,251,3.468666666666667,4.487981150239519,300,222.21752000000001,33.108794660463644,300,2.3325396825396827,6.3225796001963666,63,29.50520238095238,0.09688085941845781,63,-1.5213333333333334,8.3050612095599483,300,278.48082666666664,40.404090913799898,300
